url,reward1,2digit,3digit_1,3digit_2,3digit_3,3digit_4,reward2_1,reward2_2,reward2_3,reward2_4,reward2_5,reward3_1,reward3_2,reward3_3,reward3_4,reward3_5,reward3_6,reward3_7,reward3_8,reward3_9,reward3_10
https://www.lottery.co.th/lotto/16-07-60,820327,87,835,584,390,823,222770,531543,621393,773338,993082,051784,123834,200954,272422,319735,403163,469187,496299,623850,759630
https://www.lottery.co.th/lotto/1-07-60,112360,26,226,489,688,005,139531,150906,370407,560877,711250,100448,105853,166103,233511,433940,446690,551506,730453,752676,876750
https://www.lottery.co.th/lotto/16-06-60,943142,47,626,878,373,740,132638,468073,569856,741768,783352,074200,176203,185966,274366,281764,359895,758373,934554,964747,970026
https://www.lottery.co.th/lotto/1-06-60,053630,61,121,218,581,881,289856,300558,525252,555938,629977,063756,135635,175213,252583,290274,599637,657661,695937,707525,999340
https://www.lottery.co.th/lotto/16-05-60,454891,53,396,008,603,490,014043,028075,352789,399990,556970,016710,048974,071382,346751,416989,617849,738897,838958,876920,898168
https://www.lottery.co.th/lotto/16-04-60,816729,40,766,973,241,807,034902,061512,105092,334230,367514,072551,150780,176907,195645,222300,577598,634739,836559,855288,982445
https://www.lottery.co.th/lotto/1-04-60,392785,80,057,020,500,709,023171,250471,337404,492573,931296,029559,082228,082428,178593,181267,218499,449379,861898,912742,985319
https://www.lottery.co.th/lotto/16-03-60,273863,92,918,324,941,694,245075,347668,373330,434977,944551,015381,077325,185541,425646,494763,554080,616578,684176,861003,954856
https://www.lottery.co.th/lotto/1-03-60,978453,78,560,450,577,052,113335,136076,689306,822223,946618,004358,122732,150099,158848,297827,309517,320327,566068,737650,760482
https://www.lottery.co.th/lotto/16-02-60,229116,14,464,128,953,375,180722,243550,354053,690334,706247,163153,314197,374238,557362,612553,723617,823475,845080,961307,980260
https://www.lottery.co.th/lotto/1-02-60,054672,42,066,807,426,628,001024,099921,201426,261877,856652,049209,218194,242207,247481,350633,602819,604264,828244,830032,999774
